index,time,low,high,open,close,volume,date
47,1728777600,63170.35,63263.55,63183.08,63261.42,7.70704552,2024-10-13 00:00:00
46,1728777900,63194.3,63263.6,63261.41,63201.31,16.63622713,2024-10-13 00:05:00
45,1728778200,63181.64,63217.31,63201.31,63181.65,5.9280289,2024-10-13 00:10:00
44,1728778500,63164.76,63198.28,63181.65,63164.76,4.88541371,2024-10-13 00:15:00
43,1728778800,63036.89,63164.76,63164.76,63156.85,28.12484838,2024-10-13 00:20:00
42,1728779100,63163.72,63221.74,63163.72,63220.01,5.46259319,2024-10-13 00:25:00
41,1728779400,63214.27,63270.18,63219.31,63228.46,3.44554367,2024-10-13 00:30:00
40,1728779700,63194.35,63232.52,63228.46,63220.57,3.57096184,2024-10-13 00:35:00
39,1728780000,63223.25,63269.63,63223.25,63253.37,2.54244763,2024-10-13 00:40:00
38,1728780300,63210.27,63267.85,63247.57,63245.21,4.16085786,2024-10-13 00:45:00
37,1728780600,63181.32,63242.52,63241.1,63194.45,3.30009336,2024-10-13 00:50:00
36,1728780900,63164.56,63195.88,63194.46,63164.56,3.60238444,2024-10-13 00:55:00
35,1728781200,63080.0,63171.87,63163.78,63080.0,4.9936844,2024-10-13 01:00:00
34,1728781500,63061.99,63137.88,63080.0,63077.84,9.3684305,2024-10-13 01:05:00
33,1728781800,62971.94,63080.25,63074.24,63009.64,32.74179472,2024-10-13 01:10:00
32,1728782100,62819.06,63019.61,63009.64,62841.27,26.58735782,2024-10-13 01:15:00
31,1728782400,62803.7,62985.06,62841.87,62958.35,29.58008838,2024-10-13 01:20:00
30,1728782700,62934.1,62992.15,62950.52,62934.11,8.4920762,2024-10-13 01:25:00
29,1728783000,62841.64,62977.13,62934.1,62977.13,6.71393302,2024-10-13 01:30:00
28,1728783300,62947.84,63012.91,62977.7,62989.65,7.25980419,2024-10-13 01:35:00
27,1728783600,62989.3,63029.72,62989.65,63009.07,4.73216599,2024-10-13 01:40:00
26,1728783900,62900.39,63019.5,63009.07,62941.02,8.56345545,2024-10-13 01:45:00
25,1728784200,62865.75,62964.86,62941.02,62873.55,3.89380573,2024-10-13 01:50:00
24,1728784500,62841.82,62879.31,62865.58,62862.03,2.89460121,2024-10-13 01:55:00
23,1728784800,62855.08,62907.1,62861.7,62904.96,4.40424878,2024-10-13 02:00:00
22,1728785100,62825.0,62908.45,62903.73,62834.2,9.80492379,2024-10-13 02:05:00
21,1728785400,62705.13,62844.33,62834.21,62708.66,21.43198005,2024-10-13 02:10:00
20,1728785700,62678.75,62776.64,62708.28,62771.62,19.01988466,2024-10-13 02:15:00
19,1728786000,62737.29,62785.91,62771.62,62785.91,3.87047231,2024-10-13 02:20:00
18,1728786300,62760.05,62800.0,62785.91,62779.9,4.09149763,2024-10-13 02:25:00
17,1728786600,62771.73,62834.69,62775.34,62830.71,4.24895236,2024-10-13 02:30:00
16,1728786900,62760.51,62832.76,62829.38,62787.85,3.52252012,2024-10-13 02:35:00
15,1728787200,62785.89,62835.42,62787.85,62823.06,5.13819916,2024-10-13 02:40:00
14,1728787500,62791.85,62836.35,62815.26,62791.85,4.18658117,2024-10-13 02:45:00
13,1728787800,62759.18,62820.0,62799.98,62812.56,3.46455548,2024-10-13 02:50:00
12,1728788100,62814.66,62858.67,62816.75,62857.14,2.21355657,2024-10-13 02:55:00
11,1728788400,62849.24,62883.88,62853.55,62852.81,3.90545393,2024-10-13 03:00:00
10,1728788700,62769.81,62858.07,62851.73,62809.4,2.66805064,2024-10-13 03:05:00
9,1728789000,62792.5,62836.11,62802.43,62794.99,3.11214,2024-10-13 03:10:00
8,1728789300,62771.5,62828.81,62794.99,62776.79,1.59949154,2024-10-13 03:15:00
7,1728789600,62636.59,62780.26,62776.78,62742.06,19.51016023,2024-10-13 03:20:00
6,1728789900,62701.25,62771.5,62742.06,62766.89,4.57747511,2024-10-13 03:25:00
5,1728790200,62686.02,62772.09,62766.89,62690.84,3.59748247,2024-10-13 03:30:00
4,1728790500,62683.59,62741.83,62690.85,62727.6,4.14923404,2024-10-13 03:35:00
3,1728790800,62660.33,62726.13,62724.23,62684.67,5.56823305,2024-10-13 03:40:00
2,1728791100,62657.5,62709.11,62684.68,62688.02,1.46480605,2024-10-13 03:45:00
1,1728791400,62680.0,62720.0,62685.31,62681.31,0.94791917,2024-10-13 03:50:00
0,1728791700,62661.63,62701.21,62687.44,62701.21,0.98480991,2024-10-13 03:55:00
47,1728792000,62685.72,62730.0,62693.32,62729.99,2.06340696,2024-10-13 04:00:00
46,1728792300,62722.42,62740.0,62729.99,62738.76,3.85718537,2024-10-13 04:05:00
45,1728792600,62728.63,62754.0,62734.21,62747.62,2.53579004,2024-10-13 04:10:00
44,1728792900,62745.08,62808.55,62745.08,62808.54,2.82931672,2024-10-13 04:15:00
43,1728793200,62775.7,62823.7,62808.54,62780.6,4.66681442,2024-10-13 04:20:00
42,1728793500,62777.22,62843.56,62780.59,62836.3,3.4144008,2024-10-13 04:25:00
